ws_id;ws_name;ws_origin;ws_lat;ws_lon
5e91e1c214daf81260ebba6e;Lemlem Arena;NMA-EIAR;13.12086;39.28572
5e91e1c214daf81260ebba6f;Fere Woyane;NMA-EIAR;12.99091;39.26058
5e91e1c214daf81260ebba70;Mahibere Genet;NMA-EIAR;13.59071;39.42208
5e91e1c214daf81260ebba71;Maye Aleme;NMA-EIAR;13.54751;39.40379
5e91e1c214daf81260ebba72;Mareyame Dahane;NMA-EIAR;13.56228;39.4736
5e91e1c214daf81260ebba73;Falage Mayati;NMA-EIAR;13.60425;39.49926
5e91e1c214daf81260ebba74;Masobo;NMA-EIAR;13.56421;39.58184
5e91e1c214daf81260ebba75;Darega Ajeni;NMA-EIAR;13.52778;39.70048
5e91e1c214daf81260ebba76;Arato;NMA-EIAR;13.50998;39.61353
5e91e1c214daf81260ebba77;Hebite;NMA-EIAR;13.45406;39.51199
5e91e1c214daf81260ebba78;Debiri;NMA-EIAR;13.44662;39.42729
5e91e1c214daf81260ebba79;Mayei Anibrsa;NMA-EIAR;13.49759;39.37914
5e91e1c214daf81260ebba7a;Mayi Genete;NMA-EIAR;13.43097;39.34877
5e91e1c214daf81260ebba7b;Chelekoti;NMA-EIAR;13.36683;39.45194
5e91e1c214daf81260ebba7c;Didiba;NMA-EIAR;13.34878;39.5158
5e91e1c214daf81260ebba7d;Felege Salame;NMA-EIAR;13.39913;39.56294
5e91e1c214daf81260ebba7e;Maye Tsedo;NMA-EIAR;13.44272;39.59607
5e91e1c214daf81260ebba7f;Lemele;NMA-EIAR;13.39012;39.6808
5e91e1c214daf81260ebba80;Mesarete;NMA-EIAR;13.30613;39.63095
5e91e1c214daf81260ebba81;Metekel;NMA-EIAR;13.3776;39.32406
5e91e1c214daf81260ebba82;Dejen;NMA-EIAR;13.35172;39.38387
5e91e1c214daf81260ebba83;Amidi Weyane;NMA-EIAR;13.2974;39.33863
5e91e1c214daf81260ebba84;Hintalo;NMA-EIAR;13.27796;39.40568
5e91e1c214daf81260ebba85;Hagere Selam;NMA-EIAR;13.29266;39.46999
5e91e1c214daf81260ebba86;Hareko;NMA-EIAR;13.21588;39.3675
5e91e1c214daf81260ebba87;Fikire Alem;NMA-EIAR;13.19083;39.46487
5e91e1c214daf81260ebba88;Ara Alem;NMA-EIAR;13.21655;39.56256
5e91e1c214daf81260ebba89;Gonika;NMA-EIAR;13.12331;39.68543
5e91e1c214daf81260ebba8a;Sebebera;NMA-EIAR;13.14131;39.62178
5e91e1c214daf81260ebba8b;Mayi Nebiri;NMA-EIAR;13.1382;39.51294
5e91e1c214daf81260ebba8c;Muja;NMA-EIAR;13.12675;39.39428
5e91e1c214daf81260ebba8d;Hiwane;NMA-EIAR;13.08426;39.48254
5e91e1c214daf81260ebba8e;Waza Adi Awana;NMA-EIAR;13.0721;39.54725
5e91e1c214daf81260ebba8f;Bahari Tseba;NMA-EIAR;13.07115;39.61454
5e91e1c214daf81260ebba90;Seniale;NMA-EIAR;13.06409;39.71038
5e91e1c214daf81260ebba91;Adi Keyih;NMA-EIAR;13.00945;39.67857
5e91e1c214daf81260ebba92;Adi Mesino;NMA-EIAR;13.00354;39.60603
5e91e1c214daf81260ebba93;Tsehafiti;NMA-EIAR;12.9478;39.65617
5e91e1c214daf81260ebba94;NA;NMA-EIAR;13.22706;39.68105
5e91e1c214daf81260ebba95;NA;NMA-EIAR;13.16065;39.73833
5e91e1c214daf81260ebba96;Seniale;NMA-EIAR;13.05652;39.76571
5e91e1c214daf81260ebba97;Adi Keyih;NMA-EIAR;12.98455;39.7461
5e91e1c214daf81260ebba98;Tsehafiti;NMA-EIAR;12.92468;39.73631
5e91e1c214daf81260ebba99;Abinet;NMA-EIAR;13.0391;39.32705
5e91e1c214daf81260ebba9a;Seret;NMA-EIAR;13.06073;39.37604
5e91e1c214daf81260ebba9b;dejen;NMA-EIAR;13.01929;39.4204
5e91e1c214daf81260ebba9c;Tehiliweyane;NMA-EIAR;13.02906;39.45951
5e91e1c214daf81260ebba9d;betimera;NMA-EIAR;13.00488;39.5264
5e91e1c214daf81260ebba9e;keyihitehili;NMA-EIAR;12.96532;39.44657
5e91e1c214daf81260ebba9f;Fana;NMA-EIAR;13.00027;39.35547
5e91e1c214daf81260ebbaa0;Semiret;NMA-EIAR;12.96069;39.33304
5e91e1c214daf81260ebbaa1;Amedewuha;NMA-EIAR;12.9061;39.30665
5e91e1c214daf81260ebbaa2;Kilima;NMA-EIAR;12.84486;39.34645
5e91e1c214daf81260ebbaa3;Mayilihal;NMA-EIAR;12.91341;39.37885
5e91e1c214daf81260ebbaa4;Abeda;NMA-EIAR;12.89335;39.43224
5e91e1c214daf81260ebbaa5;Tehia;NMA-EIAR;12.90712;39.47577
5e91e1c214daf81260ebbaa6;Atesla;NMA-EIAR;12.94614;39.52903
5e91e1c214daf81260ebbaa7;Ayiba;NMA-EIAR;12.88284;39.54878
5e91e1c214daf81260ebbaa8;Sesat;NMA-EIAR;12.92155;39.59033
5e91e1c214daf81260ebbaa9;Kereya Kanfa;NMA-EIAR;12.83086;39.41955
5e91e1c214daf81260ebbaaa;embahasti;NMA-EIAR;12.83947;39.5514
5e91e1c214daf81260ebbaab;Hezeba T/ Haymanot;NMA-EIAR;12.77792;39.5695
5e91e1c214daf81260ebbaac;Shemtagesawsa;NMA-EIAR;12.79549;39.48123
5e91e1c214daf81260ebbaad;Senay;NMA-EIAR;12.7599;39.41955
5e91e1c214daf81260ebbaae;Duum;NMA-EIAR;12.79607;39.34953
5e91e1c214daf81260ebbaaf;Nikah;NMA-EIAR;12.76523;39.32506
5e91e1c214daf81260ebbab0;Arenna;NMA-EIAR;12.72053;39.35266
5e91e1c214daf81260ebbab1;Jema;NMA-EIAR;12.67985;39.44167
5e91e1c214daf81260ebbab2;Semret;NMA-EIAR;12.71989;39.49593
5e91e1c214daf81260ebbab3;Mehan;NMA-EIAR;12.75038;39.52327
5e91e1c214daf81260ebbab4;Tach Haya;NMA-EIAR;12.69436;39.55739
5e91e1c214daf81260ebbab5;Ebo;NMA-EIAR;12.87758;39.66514
5e91e1c214daf81260ebbab6;Hawulti;NMA-EIAR;12.84636;39.74368
5e91e1c214daf81260ebbab7;Mechara;NMA-EIAR;12.77149;39.79451
5e91e1c214daf81260ebbab8;Tsigawargiba;NMA-EIAR;12.79387;39.65732
5e91e1c214daf81260ebbab9;Genete;NMA-EIAR;12.75323;39.63013
5e91e1c214daf81260ebbaba;Kara Adishu;NMA-EIAR;12.69267;39.67951
5e91e1c214daf81260ebbabb;Wera Baye;NMA-EIAR;12.65552;39.62261
5e91e1c214daf81260ebbabc;Keku Fito;NMA-EIAR;12.59864;39.65143
5e91e1c214daf81260ebbabd;Heda Alga;NMA-EIAR;12.64402;39.78058
5e91e1c214daf81260ebbabe;Corme;NMA-EIAR;12.53554;39.75677
5e91e1c214daf81260ebbabf;Maru;NMA-EIAR;12.47842;39.69163
5e91e1c214daf81260ebbac0;Baleulaga;NMA-EIAR;12.42655;39.77157
5e91e1c214daf81260ebbac1;Hadiqingi;NMA-EIAR;12.37733;39.72178
5e91e1c214daf81260ebbac2;Hadiqingi;NMA-EIAR;12.42349;39.64849
5e91e1c214daf81260ebbac3;LAELAY DAYO;NMA-EIAR;12.52505;39.59729
5e91e1c214daf81260ebbac4;TAO;NMA-EIAR;12.51539;39.65403
5e91e1c214daf81260ebbac5;GEREJALE;NMA-EIAR;12.46214;39.61052
5e91e1c214daf81260ebbac6;HULEGIZE LEMELEM;NMA-EIAR;12.43359;39.58806
5e91e1c214daf81260ebbac7;SELAM BEQALESI;NMA-EIAR;12.39439;39.57455
5e91e1c214daf81260ebbac8;LEMEAT;NMA-EIAR;12.36168;39.58512
5e91e1c214daf81260ebbac9;SELEN WEHA;NMA-EIAR;12.33366;39.67003
5e91e1c214daf81260ebbaca;TEMUGA;NMA-EIAR;12.30082;39.57973
5e91e1c214daf81260ebbacb;TSETSERA;NMA-EIAR;12.37308;39.42416
